14:41:29.154	SERVER	admin	OK	Server was started (port: 1984).
15:47:27.816	127.0.0.1:64536	admin	OK	QUERY[0] import module namespace funcs='com.funcs.music' at 'music.xqm'; funcs:giveSomeInfo('BTS')	0.23 ms
15:47:27.832	127.0.0.1:64536	admin	OK	EXEC[0]	15.75 ms
15:47:27.833	127.0.0.1:64536	admin	OK	CLOSE[0]	0.07 ms
15:47:27.833	127.0.0.1:64536	admin	REQUEST	EXIT	0.34 ms
15:47:27.833	127.0.0.1:64536	admin	OK		0.22 ms
15:48:00.335	127.0.0.1:64544	admin	OK	QUERY[0] import module namespace funcs='com.funcs.music' at 'music.xqm'; funcs:giveSomeInfo('BTS')	0.14 ms
15:48:00.340	127.0.0.1:64544	admin	OK	EXEC[0]	4.41 ms
15:48:00.340	127.0.0.1:64544	admin	OK	CLOSE[0]	0.11 ms
15:48:00.341	127.0.0.1:64544	admin	REQUEST	EXIT	0.52 ms
15:48:00.341	127.0.0.1:64544	admin	OK		0.18 ms
15:59:16.328	127.0.0.1:64721	admin	OK	QUERY[0] import module namespace funcs='com.funcs.music' at 'music.xqm'; funcs:giveSomeInfo('BTS')	0.13 ms
15:59:16.344	127.0.0.1:64721	admin	OK	EXEC[0]	14.32 ms
15:59:16.344	127.0.0.1:64721	admin	OK	CLOSE[0]	0.06 ms
15:59:16.345	127.0.0.1:64721	admin	REQUEST	EXIT	0.38 ms
15:59:16.345	127.0.0.1:64721	admin	OK		0.16 ms
17:51:52.952	127.0.0.1:50331	admin	OK	QUERY[0] import module namespace funcs='com.funcs.music' at 'music.xqm'; funcs:giveSomeInfo('BTS')	1.44 ms
17:51:52.981	127.0.0.1:50331	admin	OK	EXEC[0]	27.04 ms
17:51:52.982	127.0.0.1:50331	admin	OK	CLOSE[0]	0.1 ms
17:51:52.984	127.0.0.1:50331	admin	REQUEST	EXIT	1.79 ms
17:51:52.984	127.0.0.1:50331	admin	OK		0.21 ms
17:52:31.536	127.0.0.1:50348	admin	OK	QUERY[0] import module namespace funcs='com.funcs.music' at 'music.xqm'; funcs:giveSomeInfo('BTS')	0.16 ms
17:52:31.544	127.0.0.1:50348	admin	OK	EXEC[0]	7.6 ms
17:52:31.544	127.0.0.1:50348	admin	OK	CLOSE[0]	0.09 ms
17:52:31.545	127.0.0.1:50348	admin	REQUEST	EXIT	0.39 ms
17:52:31.545	127.0.0.1:50348	admin	OK		0.16 ms
17:52:57.069	127.0.0.1:50355	admin	OK	QUERY[0] import module namespace funcs='com.funcs.music' at 'music.xqm'; funcs:giveSomeInfo('BTS')	0.14 ms
17:52:57.084	127.0.0.1:50355	admin	OK	EXEC[0]	15.24 ms
17:52:57.085	127.0.0.1:50355	admin	OK	CLOSE[0]	0.06 ms
17:52:57.086	127.0.0.1:50355	admin	REQUEST	EXIT	1.15 ms
17:52:57.086	127.0.0.1:50355	admin	OK		0.17 ms
